accuracy;loss;val_accuracy;val_loss
0.854576587677002;0.3508949279785156;0.9010238647460938;0.30827873945236206
0.8494439721107483;0.3471784293651581;0.9010238647460938;0.30777886509895325
0.8571428656578064;0.35365137457847595;0.9010238647460938;0.3073059618473053
0.85628741979599;0.35334518551826477;0.9010238647460938;0.30681145191192627
0.8597091436386108;0.3485729992389679;0.9010238647460938;0.30629923939704895
0.8648417592048645;0.35047537088394165;0.9010238647460938;0.3058529198169708
0.8571428656578064;0.3433873653411865;0.9010238647460938;0.30533549189567566
0.8554319739341736;0.34773898124694824;0.9010238647460938;0.3048842251300812
0.875106930732727;0.3461637496948242;0.9010238647460938;0.3044264614582062
0.8571428656578064;0.33415815234184265;0.9010238647460938;0.3039360046386719
0.8622754216194153;0.345441073179245;0.9010238647460938;0.303405225276947
0.8768178224563599;0.33138367533683777;0.9010238647460938;0.3028097450733185
0.85628741979599;0.3445153534412384;0.9010238647460938;0.3022485673427582
0.8554319739341736;0.3414522409439087;0.9010238647460938;0.30176472663879395
0.8605645895004272;0.3426547944545746;0.9010238647460938;0.3012964427471161
0.867408037185669;0.3357781171798706;0.9010238647460938;0.30079618096351624
0.8511548042297363;0.3526953458786011;0.9010238647460938;0.30030643939971924
0.8597091436386108;0.33873817324638367;0.9010238647460938;0.29986897110939026
0.8605645895004272;0.34534281492233276;0.9010238647460938;0.2994546592235565
0.8554319739341736;0.3415376543998718;0.8976109027862549;0.2989406883716583
0.8733960390090942;0.32972097396850586;0.8976109027862549;0.29847288131713867
0.8631308674812317;0.34185510873794556;0.8976109027862549;0.2980571985244751
0.8579983115196228;0.3438780605792999;0.8976109027862549;0.29768744111061096
0.8554319739341736;0.34762048721313477;0.8976109027862549;0.29731738567352295
0.8614200353622437;0.33728542923927307;0.8976109027862549;0.296867698431015
0.8614200353622437;0.3373313248157501;0.9010238647460938;0.29640042781829834
0.8588536977767944;0.33643838763237;0.8976109027862549;0.29593268036842346
0.8691189289093018;0.33597108721733093;0.8976109027862549;0.2954227030277252
0.8588536977767944;0.3324013650417328;0.8976109027862549;0.29500555992126465
0.8631308674812317;0.3315192461013794;0.8976109027862549;0.2945373058319092
0.8665525913238525;0.325877845287323;0.9010238647460938;0.294100821018219
0.8588536977767944;0.33122408390045166;0.9010238647460938;0.29363101720809937
0.8537211418151855;0.33848896622657776;0.8976109027862549;0.2932189404964447
0.8656972050666809;0.32797273993492126;0.9010238647460938;0.2928391098976135
0.85628741979599;0.3405672013759613;0.9010238647460938;0.2924331724643707
0.8631308674812317;0.33799877762794495;0.9010238647460938;0.2921307384967804
0.8579983115196228;0.3256179988384247;0.9010238647460938;0.29161590337753296
0.8665525913238525;0.32475921511650085;0.8976109027862549;0.2911355197429657
0.8528656959533691;0.3356872797012329;0.8976109027862549;0.29073432087898254
0.8614200353622437;0.32732126116752625;0.9010238647460938;0.2903929650783539
0.8682634830474854;0.3203965723514557;0.9010238647460938;0.2899622619152069
0.8656972050666809;0.3287486732006073;0.9044368863105774;0.28948915004730225
0.8631308674812317;0.32237011194229126;0.9044368863105774;0.28906282782554626
0.8648417592048645;0.3265392482280731;0.9044368863105774;0.2887353003025055
0.854576587677002;0.32962945103645325;0.9044368863105774;0.28832074999809265
0.8579983115196228;0.3317548334598541;0.9044368863105774;0.2879696786403656
0.8648417592048645;0.32435062527656555;0.9044368863105774;0.2875519096851349
